source;target;number;playerName;age;position;value;transferFee;season;loanEnd;loanStart;loanFee;sourceOriginal;targetOriginal;transferFeeOriginal
Rot-Weiß Erfurt;FC Schalke 04;6548;Thomas Linke;22;def;NA;0;1992;0;0;NA;Rot-Weiß Erfurt;FC Schalke 04;ablösefrei
Fortuna Düsseldorf;FC Schalke 04;6549;Mike Büskens;24;mid;NA;0;1992;0;0;NA;Fortuna Düsseldorf;FC Schalke 04;ablösefrei
Fortuna Düsseldorf;FC Schalke 04;6550;Martin Spanring;22;def;NA;NA;1992;0;0;NA;Fortuna Düsseldorf;FC Schalke 04;?
1.FC Kaiserslautern;FC Schalke 04;6551;Uwe Scherr;25;mid;NA;NA;1992;0;0;NA;1.FC Kaiserslautern;FC Schalke 04;?
FC Bayern München;FC Schalke 04;6552;Gerald Hillringhaus;30;gkp;NA;NA;1992;0;0;NA;FC Bayern München;FC Schalke 04;?
FC Schalke 04;1.FC Saarbrücken;6553;Henning Bürger;22;mid;NA;0;1992;0;0;NA;FC Schalke 04;1.FC Saarbrücken;ablösefrei
FC Schalke 04;TSV 1860 München;6554;Michael Kroninger;25;fwd;NA;0;1992;0;0;NA;FC Schalke 04;TSV 1860 München;ablösefrei
FC Schalke 04;Tennis Borussia Berlin;6555;Egon Flad;28;mid;NA;NA;1992;0;0;NA;FC Schalke 04;Tennis Borussia Berlin;?
FC Schalke 04;Beckumer SV;6556;Jürgen Welp;32;gkp;NA;NA;1992;0;0;NA;FC Schalke 04;Beckumer SV;?
FC Schalke 04;Borussia Dortmund;6557;Christof Osigus;19;gkp;NA;NA;1992;0;0;NA;FC Schalke 04;Borussia Dortmund;?
FC Schalke 04;Borussia Dortmund;6558;Stefan Thiele;18;fwd;NA;NA;1992;0;0;NA;FC Schalke 04;Borussia Dortmund;?
FC Schalke 04;Karriereende;6559;Sascha Jusufi;29;mid;NA;0;1992;0;0;NA;FC Schalke 04;Karriereende;-
FC Schalke 04;Karriereende;6560;Dietmar Schacht;29;def;NA;0;1992;0;0;NA;FC Schalke 04;Karriereende;-
FK Napredak Krusevac;SG Dynamo Dresden;6561;Vladan Milovanovic;21;fwd;NA;0;1992;0;0;NA;FK Napredak Krusevac;SG Dynamo Dresden;ablösefrei
Grasshopper Club Zürich;SG Dynamo Dresden;6562;Miroslav Stevic;22;mid;NA;NA;1992;0;0;NA;Grasshopper Club Zürich;SG Dynamo Dresden;?
FC Hansa Rostock;SG Dynamo Dresden;6563;Thomas Köhler;25;gkp;NA;NA;1992;0;0;NA;FC Hansa Rostock;SG Dynamo Dresden;?
Hertha BSC;SG Dynamo Dresden;6564;Thomas Rath;21;mid;NA;NA;1992;0;0;NA;Hertha BSC;SG Dynamo Dresden;?
SG Dresden-Striesen;SG Dynamo Dresden;6565;René Beuchel;18;mid;NA;NA;1992;0;0;NA;SG Dresden-Striesen;SG Dynamo Dresden;?
Unbekannt;SG Dynamo Dresden;6566;Wolfram Wagner;20;mid;NA;NA;1992;0;0;NA;Unbekannt;SG Dynamo Dresden;?
VfB Stuttgart;SG Dynamo Dresden;6567;Nils Schmäler;22;def;NA;NA;1992;0;0;NA;VfB Stuttgart;SG Dynamo Dresden;?
