source;target;number;playerName;age;position;value;transferFee;season;loanEnd;loanStart;loanFee;sourceOriginal;targetOriginal;transferFeeOriginal
1.FC Köln;Lierse SK;8417;Thomas Zdebel;24;mid;NA;0;1997;0;0;NA;1.FC Köln;Lierse SK;ablösefrei
1.FC Köln;FC Twente Enschede;8418;Rico Steinmann;29;mid;NA;NA;1997;0;0;NA;1.FC Köln;FC Twente Enschede;?
1.FC Köln;OGC Nizza;8419;Stefan Kohn;31;fwd;NA;NA;1997;0;0;NA;1.FC Köln;OGC Nizza;?
1.FC Köln;SK Rapid Wien;8420;Martin Braun;28;mid;NA;NA;1997;0;0;NA;1.FC Köln;SK Rapid Wien;?
1.FC Köln;FC Energie Cottbus;8421;Daniel Eschbach;23;gkp;NA;NA;1997;0;0;NA;1.FC Köln;FC Energie Cottbus;?
1.FC Köln;VfB Leipzig;8422;Antonio Ananiev;32;gkp;NA;NA;1997;0;0;NA;1.FC Köln;VfB Leipzig;?
FC Sion;SV Werder Bremen;8423;Raphael Wicky;20;mid;NA;1500000;1997;0;0;NA;FC Sion;SV Werder Bremen;1,50 Mio. €
Dynamo Kiew;SV Werder Bremen;8424;Yuriy Maksimov;28;mid;NA;750000;1997;0;0;NA;Dynamo Kiew;SV Werder Bremen;750 Tsd. €
TSV 1860 München;SV Werder Bremen;8425;Bernhard Trares;31;mid;NA;0;1997;0;0;NA;TSV 1860 München;SV Werder Bremen;ablösefrei
FC Energie Cottbus;SV Werder Bremen;8426;Sven Benken;27;def;NA;0;1997;0;0;NA;FC Energie Cottbus;SV Werder Bremen;ablösefrei
Neuchâtel Xamax;SV Werder Bremen;8427;Adrian Kunz;30;fwd;NA;NA;1997;0;0;NA;Neuchâtel Xamax;SV Werder Bremen;?
SC Freiburg;SV Werder Bremen;8428;Dieter Frey;24;mid;NA;NA;1997;0;0;NA;SC Freiburg;SV Werder Bremen;?
Blumenthaler SV;SV Werder Bremen;8429;Sören Seidel;24;mid;NA;NA;1997;0;0;NA;Blumenthaler SV;SV Werder Bremen;?
SV Werder Bremen;SV Werder Bremen;8430;Dr. Uwe Harttgen;32;mid;NA;0;1997;0;0;NA;SV Werder Bremen II;SV Werder Bremen;-
SV Werder Bremen;SV Werder Bremen;8431;Jens Lellek;29;def;NA;0;1997;0;0;NA;SV Werder Bremen II;SV Werder Bremen;-
SV Werder Bremen;SV Werder Bremen;8432;Matthias Plump;18;mid;NA;0;1997;0;0;NA;SV Werder Bremen II;SV Werder Bremen;-
Hamburger SV;SV Werder Bremen;8433;Rodolfo Cardoso;28;mid;NA;0;1997;1;0;NA;Hamburger SV;SV Werder Bremen;Leih-Ende30.06.1997
SV Werder Bremen;Hamburger SV;8434;Rodolfo Cardoso;28;mid;NA;1500000;1997;0;0;NA;SV Werder Bremen;Hamburger SV;1,50 Mio. €
SV Werder Bremen;VfB Oldenburg;8435;Hendrik Völzke;22;mid;NA;0;1997;0;0;NA;SV Werder Bremen;VfB Oldenburg;ablösefrei
SV Werder Bremen;SC Fortuna Köln;8436;Heiko Scholz;31;mid;NA;0;1997;0;0;NA;SV Werder Bremen;SC Fortuna Köln;ablösefrei
SV Werder Bremen;FC Stade Rennes;8437;Bernd Hobsch;29;fwd;NA;0;1997;0;0;NA;SV Werder Bremen;FC Stade Rennes;ablösefrei
SV Werder Bremen;Fortuna Düsseldorf;8438;Lars Unger;24;mid;NA;0;1997;0;0;NA;SV Werder Bremen;Fortuna Düsseldorf;ablösefrei
SV Werder Bremen;SpVgg Greuther Fürth;8439;Björn Schierenbeck;23;def;NA;50000;1997;0;1;50000;SV Werder Bremen;SpVgg Greuther Fürth;Leihgebühr:50 Tsd. €
SV Werder Bremen;Karriereende;8440;Hans-Jürgen Gundelach;33;gkp;NA;0;1997;0;0;NA;SV Werder Bremen;Karriereende;-
SV Werder Bremen;Karriereende;8441;Michael Schulz;35;def;NA;0;1997;0;0;NA;SV Werder Bremen;Karriereende;-
SV Werder Bremen;1.FC Kaiserslautern;8442;Hany Ramzy;29;def;NA;1150000;1998;0;0;NA;SV Werder Bremen;1.FC Kaiserslautern;1,15 Mio. €
El Ahly Kairo;1.FC Kaiserslautern;8443;Samir Kamouna;26;def;NA;600000;1998;0;0;NA;El Ahly Kairo;1.FC Kaiserslautern;600 Tsd. €
VfL Bochum;1.FC Kaiserslautern;8444;Uwe Gospodarek;24;gkp;NA;175000;1998;0;0;NA;VfL Bochum;1.FC Kaiserslautern;175 Tsd. €
Manchester City;1.FC Kaiserslautern;8445;Uwe Rösler;29;fwd;NA;0;1998;0;0;NA;Manchester City;1.FC Kaiserslautern;ablösefrei
1.FC Kaiserslautern;1.FC Kaiserslautern;8446;Júnior;20;mid;NA;0;1998;0;0;NA;1.FC Kaiserslautern II;1.FC Kaiserslautern;-
1.FC Kaiserslautern;1.FC Nürnberg;8447;Pavel Kuka;29;fwd;NA;1750000;1998;0;0;NA;1.FC Kaiserslautern;1.FC Nürnberg;1,75 Mio. €
1.FC Kaiserslautern;FC Petra Drnovice;8448;Miroslav Kadlec;34;def;NA;0;1998;0;0;NA;1.FC Kaiserslautern;FC Petra Drnovice;ablösefrei
1.FC Kaiserslautern;SV Waldhof Mannheim;8449;Thomas Franck;27;mid;NA;NA;1998;0;0;NA;1.FC Kaiserslautern;SV Waldhof Mannheim;?
1.FC Kaiserslautern;Karriereende;8450;Andreas Brehme;37;def;NA;0;1998;0;0;NA;1.FC Kaiserslautern;Karriereende;-
1.FC Kaiserslautern;Karriereende;8451;Gerry Ehrmann;39;gkp;NA;0;1998;0;0;NA;1.FC Kaiserslautern;Karriereende;-
Borussia Mönchengladbach;VfL Wolfsburg;8452;Andrzej Juskowiak;27;fwd;NA;1250000;1998;0;0;NA;Borussia Mönchengladbach;VfL Wolfsburg;1,25 Mio. €
Aberdeen FC;VfL Wolfsburg;8453;Brian O'Neil;25;def;NA;660000;1998;0;0;NA;Aberdeen FC;VfL Wolfsburg;660 Tsd. €
SC Fortuna Köln;VfL Wolfsburg;8454;Charles Akonnor;24;mid;NA;600000;1998;0;0;NA;SC Fortuna Köln;VfL Wolfsburg;600 Tsd. €
Clube Atlético Paranaense;VfL Wolfsburg;8455;Krzysztof Nowak;22;mid;NA;500000;1998;0;0;NA;Clube Atlético Paranaense;VfL Wolfsburg;500 Tsd. €
FC Hansa Rostock;VfL Wolfsburg;8456;Steffen Baumgart;26;fwd;NA;500000;1998;0;0;NA;FC Hansa Rostock;VfL Wolfsburg;500 Tsd. €
SpVgg Landshut;VfL Wolfsburg;8457;Vitus Nagorny;20;fwd;NA;100000;1998;0;0;NA;SpVgg Landshut;VfL Wolfsburg;100 Tsd. €
VfB Leipzig;VfL Wolfsburg;8458;Nico Däbritz;26;mid;NA;0;1998;0;0;NA;VfB Leipzig;VfL Wolfsburg;ablösefrei
1.FC Bocholt;VfL Wolfsburg;8459;Guido Koltermann;23;gkp;NA;0;1998;0;0;NA;1.FC Bocholt;VfL Wolfsburg;ablösefrei
Karlsruher SC;VfL Wolfsburg;8460;Claus Reitmaier;34;gkp;NA;0;1998;0;0;NA;Karlsruher SC;VfL Wolfsburg;ablösefrei
Okwawu Stores United Nkawkaw;VfL Wolfsburg;8461;Jonathan Akonnor;19;mid;NA;NA;1998;0;0;NA;Okwawu Stores United Nkawkaw;VfL Wolfsburg;?
1.FC Magdeburg;VfL Wolfsburg;8462;Marcel Maltritz;20;def;NA;NA;1998;0;0;NA;1.FC Magdeburg;VfL Wolfsburg;?
Akademisk Boldklub;VfL Wolfsburg;8463;Claus Thomsen;28;def;NA;NA;1998;0;0;NA;Akademisk Boldklub;VfL Wolfsburg;?
VfL Wolfsburg;VfL Wolfsburg;8464;Gerald Schröder;22;mid;NA;0;1998;0;0;NA;VfL Wolfsburg II;VfL Wolfsburg;-
VfL Wolfsburg;VfB Stuttgart;8465;Jens Keller;27;def;NA;300000;1998;0;0;NA;VfL Wolfsburg;VfB Stuttgart;300 Tsd. €
VfL Wolfsburg;KFC Uerdingen 05;8466;Zoran Tomcic;28;def;NA;150000;1998;0;0;NA;VfL Wolfsburg;KFC Uerdingen 05;150 Tsd. €
VfL Wolfsburg;FC St. Pauli;8467;Dragan Stevanovic;26;fwd;NA;0;1998;0;0;NA;VfL Wolfsburg;FC St. Pauli;ablösefrei
VfL Wolfsburg;SSV Vorsfelde;8468;Marco Ament;19;mid;NA;0;1998;0;0;NA;VfL Wolfsburg;SSV Vorsfelde;ablösefrei
VfL Wolfsburg;Dallas Burn;8469;Chad Deering;27;mid;NA;0;1998;0;0;NA;VfL Wolfsburg;Dallas Burn;ablösefrei
VfL Wolfsburg;VfB Hellerau-Klotzsche;8470;Sven Ratke;26;mid;NA;0;1998;0;0;NA;VfL Wolfsburg;VfB Hellerau-Klotzsche;ablösefrei
VfL Wolfsburg;SpVgg Unterhaching;8471;Michael Spies;32;mid;NA;NA;1998;0;0;NA;VfL Wolfsburg;SpVgg Unterhaching;?
VfL Wolfsburg;SG Wattenscheid 09;8472;Maximilian Heidenreich;31;def;NA;NA;1998;0;0;NA;VfL Wolfsburg;SG Wattenscheid 09;?
VfL Wolfsburg;AC Sparta Prag;8473;Pavel Novotny;24;def;NA;NA;1998;0;0;NA;VfL Wolfsburg;AC Sparta Prag;?
VfL Wolfsburg;Odense Boldklub;8474;Jann Jensen;29;def;NA;NA;1998;0;0;NA;VfL Wolfsburg;Odense Boldklub;?
VfL Wolfsburg;Eintracht Braunschweig;8475;Piotr Tyszkiewicz;27;fwd;NA;NA;1998;0;0;NA;VfL Wolfsburg;Eintracht Braunschweig;?
VfL Wolfsburg;Karlsruher SC;8476;Stefan Meissner;25;fwd;NA;NA;1998;0;0;NA;VfL Wolfsburg;Karlsruher SC;?
VfL Wolfsburg;VfB Lübeck;8477;Markus Kullig;23;mid;NA;NA;1998;0;0;NA;VfL Wolfsburg;VfB Lübeck;?
VfL Wolfsburg;Karriereende;8478;Jörg Hoßbach;33;gkp;NA;0;1998;0;0;NA;VfL Wolfsburg;Karriereende;-
Arminia Bielefeld;VfL Bochum;8479;Stefan Kuntz;35;fwd;NA;350000;1998;0;0;NA;Arminia Bielefeld;VfL Bochum;350 Tsd. €
NK Varteks Varazdin;VfL Bochum;8480;Samir Toplak;28;def;NA;250000;1998;0;0;NA;NK Varteks Varazdin;VfL Bochum;250 Tsd. €
FK Vojvodina Novi Sad;VfL Bochum;8481;Zdravko Drincic;26;fwd;NA;150000;1998;0;0;NA;FK Vojvodina Novi Sad;VfL Bochum;150 Tsd. €
FC Basel 1893;VfL Bochum;8482;Maurizio Gaudino;31;mid;NA;125000;1998;0;0;NA;FC Basel 1893;VfL Bochum;125 Tsd. €
Flota Swinoujscie;VfL Bochum;8483;Jacek Ratajczak;24;fwd;NA;0;1998;0;0;NA;Flota Swinoujscie;VfL Bochum;ablösefrei
Persepolis FC;VfL Bochum;8484;Mehdi Mahdavikia;21;def;NA;0;1998;0;1;NA;Persepolis FC;VfL Bochum;Leihe
Karlsruher SC;VfL Bochum;8485;Andreas Zeyer;30;mid;NA;NA;1998;0;0;NA;Karlsruher SC;VfL Bochum;?
Otelul Galati;VfL Bochum;8486;Viorel Ion;31;fwd;NA;0;1998;0;1;NA;Otelul Galati;VfL Bochum;Leihe
FC Carl Zeiss Jena;VfL Bochum;8487;Maik Kischko;31;gkp;NA;NA;1998;0;0;NA;FC Carl Zeiss Jena;VfL Bochum;?
ND Beltinci;VfL Bochum;8488;Emir Dzafic;25;mid;NA;NA;1998;0;0;NA;ND Beltinci;VfL Bochum;?
NK Croatia Zagreb;VfL Bochum;8489;Alen Petrovic;28;def;NA;NA;1998;0;0;NA;NK Croatia Zagreb;VfL Bochum;?
VfL Bochum;VfL Bochum;8490;Sebastian Schindzielorz;19;mid;NA;0;1998;0;0;NA;VfL Bochum II;VfL Bochum;-
VfL Bochum;VfL Bochum;8491;Michael Bemben;22;def;NA;0;1998;0;0;NA;VfL Bochum II;VfL Bochum;-
VfL Bochum;Hertha BSC;8492;Dariusz Wosz;29;mid;NA;2600000;1998;0;0;NA;VfL Bochum;Hertha BSC;2,60 Mio. €
VfL Bochum;1.FC Köln;8493;Georgi Donkov;28;fwd;NA;1000000;1998;0;0;NA;VfL Bochum;1.FC Köln;1,00 Mio. €
VfL Bochum;Bayer 04 Leverkusen;8494;Zoran Mamic;26;def;NA;800000;1998;0;0;NA;VfL Bochum;Bayer 04 Leverkusen;800 Tsd. €
VfL Bochum;Arminia Bielefeld;8495;Henryk Baluszynski;25;fwd;NA;200000;1998;0;0;NA;VfL Bochum;Arminia Bielefeld;200 Tsd. €
VfL Bochum;1.FC Kaiserslautern;8496;Uwe Gospodarek;24;gkp;NA;175000;1998;0;0;NA;VfL Bochum;1.FC Kaiserslautern;175 Tsd. €
VfL Bochum;1.FC Union Berlin;8497;Peter Közle;30;fwd;NA;125000;1998;0;0;NA;VfL Bochum;1.FC Union Berlin;125 Tsd. €
VfL Bochum;SpVgg Greuther Fürth;8498;Mirko Reichel;27;mid;NA;100000;1998;0;0;NA;VfL Bochum;SpVgg Greuther Fürth;100 Tsd. €
VfL Bochum;Stuttgarter Kickers;8499;Daniel Winkler;24;fwd;NA;0;1998;0;0;NA;VfL Bochum;Stuttgarter Kickers;ablösefrei
VfL Bochum;1.FC Köln;8500;Karsten Hutwelker;26;mid;NA;0;1998;0;0;NA;VfL Bochum;1.FC Köln;ablösefrei
VfL Bochum;Spartak Moskau;8501;Sergey Yuran;29;fwd;NA;NA;1998;0;0;NA;VfL Bochum;Spartak Moskau;?
Roter Stern Belgrad;VfB Stuttgart;8502;Sasa Markovic;26;mid;NA;1600000;1998;0;0;NA;Roter Stern Belgrad;VfB Stuttgart;1,60 Mio. €
Real Oviedo;VfB Stuttgart;8503;Mitko Stojkovski;25;mid;NA;500000;1998;0;0;NA;Real Oviedo;VfB Stuttgart;500 Tsd. €
VfL Wolfsburg;VfB Stuttgart;8504;Jens Keller;27;def;NA;300000;1998;0;0;NA;VfL Wolfsburg;VfB Stuttgart;300 Tsd. €
VfL Kirchheim;VfB Stuttgart;8505;Rüdiger Kauf;23;mid;NA;0;1998;0;0;NA;VfL Kirchheim;VfB Stuttgart;ablösefrei
Kaizer Chiefs;VfB Stuttgart;8506;Bradley Carnell;21;def;NA;0;1998;0;0;NA;Kaizer Chiefs;VfB Stuttgart;ablösefrei
1.FC Köln;VfB Stuttgart;8507;Pablo Thiam;24;mid;NA;0;1998;0;0;NA;1.FC Köln;VfB Stuttgart;ablösefrei
MSV Duisburg;VfB Stuttgart;8508;Michael Zeyer;30;mid;NA;0;1998;0;0;NA;MSV Duisburg;VfB Stuttgart;ablösefrei
VfB Stuttgart;VfB Stuttgart;8509;Tobias Iseli;19;def;NA;0;1998;0;0;NA;VfB Stuttgart II;VfB Stuttgart;-
VfB Stuttgart;VfB Stuttgart;8510;Kai Oswald;20;def;NA;0;1998;0;0;NA;VfB Stuttgart II;VfB Stuttgart;-
VfB Stuttgart;VfB Stuttgart;8511;Ahmed Salah Hosny;19;fwd;NA;0;1998;0;0;NA;VfB Stuttgart II;VfB Stuttgart;-
VfB Stuttgart;Fenerbahce Istanbul;8512;Murat Yakin;23;def;NA;4000000;1998;0;0;NA;VfB Stuttgart;Fenerbahce Istanbul;4,00 Mio. €
VfB Stuttgart;Borussia Mönchengladbach;8513;Matthias Hagner;23;mid;NA;750000;1998;0;0;NA;VfB Stuttgart;Borussia Mönchengladbach;750 Tsd. €
VfB Stuttgart;Grazer AK;8514;Marco Grimm;26;def;NA;150000;1998;0;0;NA;VfB Stuttgart;Grazer AK;150 Tsd. €
VfB Stuttgart;UD Las Palmas;8515;Marco Haber;26;mid;NA;0;1998;0;0;NA;VfB Stuttgart;UD Las Palmas;ablösefrei
VfB Stuttgart;Karlsruher SC;8516;Danny Schwarz;23;mid;NA;0;1998;0;0;NA;VfB Stuttgart;Karlsruher SC;ablösefrei
VfB Stuttgart;AC Venezia 1907;8517;Gerhard Poschner;29;mid;NA;NA;1998;0;0;NA;VfB Stuttgart;AC Venezia 1907;?
VfB Stuttgart;Hannover 96;8518;Matthias Becker;24;fwd;NA;NA;1998;0;0;NA;VfB Stuttgart;Hannover 96;?
VfB Stuttgart;Espanyol Barcelona;8519;Florin Raducioiu;28;fwd;NA;0;1998;1;0;NA;VfB Stuttgart;Espanyol Barcelona;Leih-Ende30.06.1998
Hertha BSC;TSV 1860 München;8520;Michél Dinzey;25;mid;NA;1000000;1998;0;0;NA;Hertha BSC;TSV 1860 München;1,00 Mio. €
AC Sparta Prag;TSV 1860 München;8521;Martin Cizek;24;mid;NA;610000;1998;0;0;NA;AC Sparta Prag;TSV 1860 München;610 Tsd. €
FC Slovan Liberec;TSV 1860 München;8522;Roman Tyce;21;mid;NA;600000;1998;0;0;NA;FC Slovan Liberec;TSV 1860 München;600 Tsd. €
1.FC Nürnberg;TSV 1860 München;8523;Thomas Richter;28;def;NA;0;1998;0;0;NA;1.FC Nürnberg;TSV 1860 München;ablösefrei
Karlsruher SC;TSV 1860 München;8524;Markus Schroth;23;fwd;NA;0;1998;0;0;NA;Karlsruher SC;TSV 1860 München;ablösefrei
FC Schalke 04;TSV 1860 München;8525;Marco Kurz;29;def;NA;0;1998;0;0;NA;FC Schalke 04;TSV 1860 München;ablösefrei
AS Cannes;TSV 1860 München;8526;Gerald Vanenburg;34;fwd;NA;0;1998;0;0;NA;AS Cannes;TSV 1860 München;ablösefrei
TSV 1860 München;TSV 1860 München;8527;Michael Öller;20;mid;NA;0;1998;0;0;NA;TSV 1860 München II;TSV 1860 München;-
TSV 1860 München;Borussia Dortmund;8528;Miroslav Stevic;28;mid;NA;800000;1998;0;0;NA;TSV 1860 München;Borussia Dortmund;800 Tsd. €
TSV 1860 München;FC Bayern München;8529;Jens Jeremies;24;mid;NA;800000;1998;0;0;NA;TSV 1860 München;FC Bayern München;800 Tsd. €
TSV 1860 München;Al-Ain FC;8530;Abédi Pelé;33;mid;NA;450000;1998;0;0;NA;TSV 1860 München;Al-Ain FC;450 Tsd. €
TSV 1860 München;Tennis Borussia Berlin;8531;Marco Walker;28;def;NA;425000;1998;0;0;NA;TSV 1860 München;Tennis Borussia Berlin;425 Tsd. €
TSV 1860 München;KRC Genk;8532;Besnik Hasi;26;mid;NA;425000;1998;0;0;NA;TSV 1860 München;KRC Genk;425 Tsd. €
TSV 1860 München;Arminia Bielefeld;8533;André Hofschneider;28;mid;NA;350000;1998;0;0;NA;TSV 1860 München;Arminia Bielefeld;350 Tsd. €
TSV 1860 München;Arminia Bielefeld;8534;Jörg Böhme;24;mid;NA;300000;1998;0;0;NA;TSV 1860 München;Arminia Bielefeld;300 Tsd. €
TSV 1860 München;FC Energie Cottbus;8535;Rayk Schröder;23;def;NA;0;1998;0;0;NA;TSV 1860 München;FC Energie Cottbus;ablösefrei
TSV 1860 München;SV Lohhof;8536;Christian Holzer;21;gkp;NA;0;1998;0;0;NA;TSV 1860 München;SV Lohhof;ablösefrei
TSV 1860 München;Lokomotiv Sofia;8537;Hristo Yovov;21;mid;NA;NA;1998;0;0;NA;TSV 1860 München;Lokomotiv Sofia;?
Hamburger SV;SC Freiburg;8538;Richard Golz;30;gkp;NA;245000;1998;0;0;NA;Hamburger SV;SC Freiburg;245 Tsd. €
Dinamo Tiflis;SC Freiburg;8539;Levan Tskitishvili;21;mid;NA;125000;1998;0;0;NA;Dinamo Tiflis;SC Freiburg;125 Tsd. €
Dinamo Tiflis;SC Freiburg;8540;Levan Kobiashvili;20;mid;NA;125000;1998;0;0;NA;Dinamo Tiflis;SC Freiburg;125 Tsd. €
SpVgg Unterhaching;SC Freiburg;8541;Thomas Radlspeck;25;fwd;NA;100000;1998;0;0;NA;SpVgg Unterhaching;SC Freiburg;100 Tsd. €
Fortuna Düsseldorf;SC Freiburg;8542;Mike Rietpietsch;24;mid;NA;50000;1998;0;0;NA;Fortuna Düsseldorf;SC Freiburg;50 Tsd. €
FSV Zwickau;SC Freiburg;8543;Lars Hermel;27;def;NA;0;1998;0;0;NA;FSV Zwickau;SC Freiburg;ablösefrei
FC Nantes;SC Freiburg;8544;Adel Sellimi;25;fwd;NA;0;1998;0;0;NA;FC Nantes;SC Freiburg;ablösefrei
SC 04 Schwabach;SC Freiburg;8545;Stefan Hampl;23;fwd;NA;20000;1998;0;0;NA;SC 04 Schwabach;SC Freiburg;20 Tsd. €
SC Freiburg;SC Freiburg;8546;Tobias Willi;18;def;NA;0;1998;0;0;NA;SC Freiburg U19;SC Freiburg;-
SC Freiburg;Grazer AK;8547;Thomas Radlspeck;26;fwd;NA;100000;1998;0;0;NA;SC Freiburg;Grazer AK;100 Tsd. €
SC Freiburg;SV Waldhof Mannheim;8548;Thomas Herz;22;mid;NA;20000;1998;0;0;NA;SC Freiburg;SV Waldhof Mannheim;20 Tsd. €
SC Freiburg;Borussia Mönchengladbach;8549;Michael Frontzeck;34;def;NA;NA;1998;0;0;NA;SC Freiburg;Borussia Mönchengladbach;?
SC Freiburg;SC Freiburg;8550;Marco Buchheit;21;fwd;NA;0;1998;0;0;NA;SC Freiburg;SC Freiburg II;-
SC Freiburg;Dinamo Tiflis;8551;Levan Kobiashvili;20;mid;NA;0;1998;1;0;NA;SC Freiburg;Dinamo Tiflis;Leih-Ende30.06.1998
Odense Boldklub;MSV Duisburg;8552;Erik Bo Andersen;27;fwd;NA;1000000;1998;0;0;NA;Odense Boldklub;MSV Duisburg;1,00 Mio. €
KFC Uerdingen 05;MSV Duisburg;8553;Marcus Wedau;22;mid;NA;500000;1998;0;0;NA;KFC Uerdingen 05;MSV Duisburg;500 Tsd. €
FC Bayern München;MSV Duisburg;8554;Alexander Bugera;20;def;NA;125000;1998;0;1;125000;FC Bayern München;MSV Duisburg;Leihgebühr:125 Tsd. €
1.FC Köln;MSV Duisburg;8555;Andreas Menger;26;gkp;NA;0;1998;0;0;NA;1.FC Köln;MSV Duisburg;ablösefrei
Borussia Mönchengladbach;MSV Duisburg;8556;Thomas Hoersen;26;def;NA;0;1998;0;0;NA;Borussia Mönchengladbach;MSV Duisburg;ablösefrei
Stuttgarter Kickers;MSV Duisburg;8557;Markus Beierle;26;fwd;NA;0;1998;0;0;NA;Stuttgarter Kickers;MSV Duisburg;ablösefrei
Stade Tunisien;MSV Duisburg;8558;Yasser El-Hamrouni;21;mid;NA;0;1998;0;0;NA;Stade Tunisien;MSV Duisburg;ablösefrei
SC Bastia;MSV Duisburg;8559;Lubomir Moravcik;33;mid;NA;0;1998;0;0;NA;SC Bastia;MSV Duisburg;ablösefrei
Bayer 04 Leverkusen;MSV Duisburg;8560;Martin Frydek;29;mid;NA;NA;1998;0;0;NA;Bayer 04 Leverkusen;MSV Duisburg;?
1.FC Union Solingen;MSV Duisburg;8561;Carsten Krämer;23;gkp;NA;NA;1998;0;0;NA;1.FC Union Solingen;MSV Duisburg;?
Grasshopper Club Zürich;MSV Duisburg;8562;Pascal Thüler;28;def;NA;NA;1998;0;0;NA;Grasshopper Club Zürich;MSV Duisburg;?
Lillestrøm SK;MSV Duisburg;8563;Mamadou Diallo;27;fwd;NA;0;1998;0;1;NA;Lillestrøm SK;MSV Duisburg;Leihe
MSV Duisburg;MSV Duisburg;8564;Peter Schyrba;17;def;NA;0;1998;0;0;NA;MSV Duisburg U19;MSV Duisburg;-
MSV Duisburg;Borussia Dortmund;8565;Bachirou Salou;27;fwd;NA;4200000;1998;0;0;NA;MSV Duisburg;Borussia Dortmund;4,20 Mio. €
MSV Duisburg;Celtic Glasgow;8566;Lubomir Moravcik;33;mid;NA;350000;1998;0;0;NA;MSV Duisburg;Celtic Glasgow;350 Tsd. €
MSV Duisburg;Rot-Weiß Oberhausen;8567;Joachim Hopp;31;def;NA;0;1998;0;0;NA;MSV Duisburg;Rot-Weiß Oberhausen;ablösefrei
MSV Duisburg;1.FC Nürnberg;8568;Niklas Skoog;24;fwd;NA;0;1998;0;0;NA;MSV Duisburg;1.FC Nürnberg;ablösefrei
MSV Duisburg;VfB Stuttgart;8569;Michael Zeyer;30;mid;NA;0;1998;0;0;NA;MSV Duisburg;VfB Stuttgart;ablösefrei
MSV Duisburg;FC St. Pauli;8570;Thomas Puschmann;25;mid;NA;0;1998;0;0;NA;MSV Duisburg;FC St. Pauli;ablösefrei
MSV Duisburg;Karlsruher SC;8571;Marc Kienle;25;def;NA;0;1998;0;0;NA;MSV Duisburg;Karlsruher SC;ablösefrei
MSV Duisburg;Borussia Mönchengladbach;8572;Markus Reiter;21;def;NA;NA;1998;0;0;NA;MSV Duisburg;Borussia Mönchengladbach;?
MSV Duisburg;FC Kopenhagen;8573;Thomas Gill;33;gkp;NA;NA;1998;0;0;NA;MSV Duisburg;FC Kopenhagen;?
MSV Duisburg;Karlsruher SC;8574;Holger Gehrke;37;gkp;NA;NA;1998;0;0;NA;MSV Duisburg;Karlsruher SC;?
MSV Duisburg;ND Gorica;8575;Adem Kapic;23;mid;NA;NA;1998;0;0;NA;MSV Duisburg;ND Gorica;?
MSV Duisburg;Lillestrøm SK;8576;Mamadou Diallo;27;fwd;NA;0;1998;1;0;NA;MSV Duisburg;Lillestrøm SK;Leih-Ende31.05.1999
MSV Duisburg;Tiligul-Tiras Tiraspol;8577;Alexandru Popovici;21;fwd;NA;0;1998;1;0;NA;MSV Duisburg;Tiligul-Tiras Tiraspol;Leih-Ende30.06.1998
VfL Bochum;Hertha BSC;8578;Dariusz Wosz;29;mid;NA;2600000;1998;0;0;NA;VfL Bochum;Hertha BSC;2,60 Mio. €
1.FC Köln;Hertha BSC;8579;René Tretschok;29;mid;NA;1000000;1998;0;0;NA;1.FC Köln;Hertha BSC;1,00 Mio. €
Lech Posen;Hertha BSC;8580;Piotr Reiss;26;fwd;NA;950000;1998;0;0;NA;Lech Posen;Hertha BSC;950 Tsd. €
Tennis Borussia Berlin;Hertha BSC;8581;Ilija Aracic;28;fwd;NA;475000;1998;0;0;NA;Tennis Borussia Berlin;Hertha BSC;475 Tsd. €
NK Marsonia Slavonski Brod;Hertha BSC;8582;Ivica Olic;19;fwd;NA;250000;1998;0;0;NA;NK Marsonia Slavonski Brod;Hertha BSC;250 Tsd. €
FC Bayern München;Hertha BSC;8583;Christian Saba;20;def;NA;100000;1998;0;1;100000;FC Bayern München II;Hertha BSC;Leihgebühr:100 Tsd. €
D.C. United;Hertha BSC;8584;Tony Sanneh;27;def;NA;0;1998;0;0;NA;D.C. United;Hertha BSC;ablösefrei
Arminia Bielefeld;Hertha BSC;8585;Rob Maas;28;mid;NA;0;1998;0;0;NA;Arminia Bielefeld;Hertha BSC;ablösefrei
Hertha BSC;Hertha BSC;8586;René Renno;19;gkp;NA;0;1998;0;0;NA;Hertha BSC II;Hertha BSC;-
Hertha BSC;TSV 1860 München;8587;Michél Dinzey;25;mid;NA;1000000;1998;0;0;NA;Hertha BSC;TSV 1860 München;1,00 Mio. €
Hertha BSC;Karlsruher SC;8588;Christian Fährmann;22;mid;NA;300000;1998;0;0;NA;Hertha BSC;Karlsruher SC;300 Tsd. €
Hertha BSC;Karlsruher SC;8589;Marc Arnold;28;mid;NA;175000;1998;0;0;NA;Hertha BSC;Karlsruher SC;175 Tsd. €
Hertha BSC;FC St. Pauli;8590;Steffen Karl;28;mid;NA;125000;1998;0;0;NA;Hertha BSC;FC St. Pauli;125 Tsd. €
Hertha BSC;SV Waldhof Mannheim;8591;Carsten Lakies;27;fwd;NA;0;1998;0;0;NA;Hertha BSC;SV Waldhof Mannheim;ablösefrei
Hertha BSC;SpVgg Greuther Fürth;8592;Oliver Schmidt;24;def;NA;0;1998;0;0;NA;Hertha BSC;SpVgg Greuther Fürth;ablösefrei
Hertha BSC;Karriereende;8593;Axel Kruse;31;fwd;NA;0;1998;0;0;NA;Hertha BSC;Karriereende;-
